iter	f_val	grad_norm	x0	x1
122	0.18380118	0.57415970	0.57188421	0.32477549
123	0.18213599	0.56553360	0.57403857	0.32688807
124	0.18049673	0.58173134	0.57610126	0.32905261
125	0.17885731	0.60001201	0.57805435	0.33128470
126	0.17721461	0.60069394	0.57990318	0.33357980
127	0.17558661	0.58161883	0.58167316	0.33591618
128	0.17399328	0.55642730	0.58340207	0.33826167
129	0.17243924	0.54232468	0.58513009	0.34058224
130	0.17091251	0.54467186	0.58689012	0.34285025
131	0.16939759	0.55345768	0.58870065	0.34505044
132	0.16788914	0.55545160	0.59056269	0.34718241
133	0.16639447	0.54616078	0.59246113	0.34925937
134	0.16492463	0.53173595	0.59436981	0.35130372
135	0.16348382	0.52230746	0.59625885	0.35334080
136	0.16206642	0.52241879	0.59810231	0.35539256
137	0.16066317	0.52736500	0.59988415	0.35747253
138	0.15926943	0.52893289	0.60160136	0.35958335
139	0.15788810	0.52316618	0.60326360	0.36171717
140	0.15652544	0.51288564	0.60488973	0.36385858
141	0.15518483	0.50430239	0.60650241	0.36598916
142	0.15386417	0.50117349	0.60812218	0.36809228
143	0.15255856	0.50181380	0.60976262	0.37015712
144	0.15126502	0.50163118	0.61142763	0.37218081
145	0.14998458	0.49783418	0.61311136	0.37416842
146	0.14872038	0.49156823	0.61480059	0.37613099
147	0.14747423	0.48622556	0.61647877	0.37808217
148	0.14624484	0.48397334	0.61813052	0.38003463
149	0.14502930	0.48384846	0.61974543	0.38199691
150	0.14382563	0.48307913	0.62132037	0.38397171
151	0.14263421	0.47987349	0.62285961	0.38595577
152	0.14145676	0.47484564	0.62437312	0.38794124
153	0.14029440	0.47009277	0.62587358	0.38991823
154	0.13914656	0.46710001	0.62737287	0.39187747
155	0.13801168	0.46552067	0.62887913	0.39381271
156	0.13688867	0.46385645	0.63039506	0.39572205
157	0.13577765	0.46107832	0.63191771	0.39760805
158	0.13467944	0.45750071	0.63343981	0.39947664
159	0.13359444	0.45424720	0.63495210	0.40133530
160	0.13252215	0.45203188	0.63644597	0.40319099
161	0.13146154	0.45050527	0.63791565	0.40504836
162	0.13041191	0.44871752	0.63935958	0.40690879
163	0.12937331	0.44608552	0.64078039	0.40877036
164	0.12834617	0.44287067	0.64218392	0.41062870
165	0.12733069	0.43980751	0.64357739	0.41247835
166	0.12632656	0.43736072	0.64496738	0.41431438
167	0.12533322	0.43536102	0.64635817	0.41613367
168	0.12435027	0.43330186	0.64775085	0.41793554
169	0.12337772	0.43089674	0.64914332	0.41972180
170	0.12241571	0.42831650	0.65053120	0.42149595
171	0.12146422	0.42593616	0.65190924	0.42326218
172	0.12052292	0.42391756	0.65327286	0.42502413
173	0.11959142	0.42206294	0.65461934	0.42678402
174	0.11866946	0.42004518	0.65594842	0.42854216
175	0.11775701	0.41773391	0.65726219	0.43029711
176	0.11685414	0.41528799	0.65856431	0.43204621
177	0.11596077	0.41296297	0.65985891	0.43378647
178	0.11507671	0.41086270	0.66114944	0.43551544
179	0.11420169	0.40888112	0.66243778	0.43723183
180	0.11333558	0.40685556	0.66372393	0.43893577
181	0.11247831	0.40474222	0.66500619	0.44062869
182	0.11162984	0.40263694	0.66628181	0.44231277
183	0.11079005	0.40064785	0.66754789	0.44399032
184	0.10995875	0.39877317	0.66880221	0.44566309
185	0.10913573	0.39690823	0.67004382	0.44733192
186	0.10832089	0.39495699	0.67127322	0.44899654
187	0.10751417	0.39292207	0.67249210	0.45065582
188	0.10671551	0.39088776	0.67370277	0.45230816
189	0.10592481	0.38892938	0.67490750	0.45395199
190	0.10514192	0.38704905	0.67610788	0.45558625
191	0.10436671	0.38519482	0.67730446	0.45721064
192	0.10359910	0.38332767	0.67849673	0.45882567
193	0.10283901	0.38145965	0.67968336	0.46043240
194	0.10208634	0.37962963	0.68086271	0.46203217
195	0.10134099	0.37785296	0.68203330	0.46362615
196	0.10060283	0.37610244	0.68319428	0.46521506
197	0.09987175	0.37433685	0.68434564	0.46679901
198	0.09914767	0.37254163	0.68548811	0.46837757
199	0.09843053	0.37073907	0.68662295	0.46994990
200	0.09772024	0.36896222	0.68775154	0.47151512
201	0.09701670	0.36722411	0.68887497	0.47307252
202	0.09631983	0.36551284	0.68999380	0.47462181
203	0.09562953	0.36381182	0.69110795	0.47616313
204	0.09494573	0.36211904	0.69221679	0.47769702
205	0.09426836	0.36044548	0.69331942	0.47922423
206	0.09359732	0.35879842	0.69441497	0.48074548
207	0.09293253	0.35717045	0.69550286	0.48226127
208	0.09227391	0.35554589	0.69658295	0.48377178
209	0.09162137	0.35391602	0.69765561	0.48527684
210	0.09097485	0.35228632	0.69872151	0.48677605
211	0.09033429	0.35066954	0.69978147	0.48826890
